,energy,unc_en,intensity,unc_i,symbol,target_abundance,target_unc_a,target_n,target_z,product_half_life_sec,product_unc_hls,product_n,product_z,thermal_xs_mb,thermal_unc_xs_mb,thermal_xs_lib,thermal_xs_unc_lib,atom_count,A0,A_decayed,decays_during_count,n_gamma
0,1266.1,0.1,0.0554,0.0007,Si,3.0735,0.0021,16,14,9434.4,12.0,17,14,107.0862,,endf,MISSING_COVARIANCE,1.0527738651752245e+22,262007417.6459617,250708447.36560488,422708492250.72504,234180504.70690167
1,0.149,,1.2944198e-09,2.707549e-10,Si,3.0735,0.0021,16,14,9434.4,12.0,17,14,107.0862,,endf,MISSING_COVARIANCE,1.0527738651752245e+22,262007417.6459617,250708447.36560488,422708492250.72504,5.47162241997485
2,2.013,,1.9229534e-08,6.161253e-10,Si,3.0735,0.0021,16,14,9434.4,12.0,17,14,107.0862,,endf,MISSING_COVARIANCE,1.0527738651752245e+22,262007417.6459617,250708447.36560488,422708492250.72504,81.28487323824055
3,2.014,,3.80933717e-08,1.2058653e-09,Si,3.0735,0.0021,16,14,9434.4,12.0,17,14,107.0862,,endf,MISSING_COVARIANCE,1.0527738651752245e+22,262007417.6459617,250708447.36560488,422708492250.72504,161.02391716053438
4,2.138,,2.4648849e-09,2.421696e-10,Si,3.0735,0.0021,16,14,9434.4,12.0,17,14,107.0862,,endf,MISSING_COVARIANCE,1.0527738651752245e+22,262007417.6459617,250708447.36560488,422708492250.72504,10.419277796505792
5,1778.987,0.015,100.0,0.0,Al,100.0,,14,13,134.7,0.12,15,13,233.4723,,endf,MISSING_COVARIANCE,2.222982802223705e+23,51900490302.01316,2367448886.7257743,460025095026.0372,460025095026.0372
6,0.118,,9.2686825e-07,2.026396571e-07,Al,100.0,,14,13,134.7,0.12,15,13,233.4723,,endf,MISSING_COVARIANCE,2.222982802223705e+23,51900490302.01316,2367448886.7257743,460025095026.0372,4263.826547828668
7,1.74,,1.4060693283e-05,4.211819175e-07,Al,100.0,,14,13,134.7,0.12,15,13,233.4723,,endf,MISSING_COVARIANCE,2.222982802223705e+23,51900490302.01316,2367448886.7257743,460025095026.0372,64682.71763644037
8,1.74,,2.79148169209e-05,8.246179398e-07,Al,100.0,,14,13,134.7,0.12,15,13,233.4723,,endf,MISSING_COVARIANCE,2.222982802223705e+23,51900490302.01316,2367448886.7257743,460025095026.0372,128415.16306671454
9,1.836,,1.2172897959e-06,1.309445338e-07,Al,100.0,,14,13,134.7,0.12,15,13,233.4723,,endf,MISSING_COVARIANCE,2.222982802223705e+23,51900490302.01316,2367448886.7257743,460025095026.0372,5599.838540331229
10,126.0,0.1,1.28e-07,2e-09,Fe,5.845,0.105,28,26,86592204.87428045,284012.333771328,29,26,2251.444,,endf,MISSING_COVARIANCE,4.958751226552159e+21,321718.7527482407,321717.2075889885,579086801.7616088,0.7412311062548594
11,0.66,,0.6605521,0.0985937115652595,Fe,5.845,0.105,28,26,86592204.87428045,284012.333771328,29,26,2251.444,,endf,MISSING_COVARIANCE,4.958751226552159e+21,321718.7527482407,321717.2075889885,579086801.7616088,3825170.029859144
12,5.888,,8.445882407206723,0.1634097329393735,Fe,5.845,0.105,28,26,86592204.87428045,284012.333771328,29,26,2251.444,,endf,MISSING_COVARIANCE,4.958751226552159e+21,321718.7527482407,321717.2075889885,579086801.7616088,48908990.31243979
13,5.899,,16.563801543845308,0.3100135546983402,Fe,5.845,0.105,28,26,86592204.87428045,284012.333771328,29,26,2251.444,,endf,MISSING_COVARIANCE,4.958751226552159e+21,321718.7527482407,321717.2075889885,579086801.7616088,95918788.61039378
14,6.512,,3.398816048947971,0.0723943316088071,Fe,5.845,0.105,28,26,86592204.87428045,284012.333771328,29,26,2251.444,,endf,MISSING_COVARIANCE,4.958751226552159e+21,321718.7527482407,321717.2075889885,579086801.7616088,19682095.155613083
15,142.651,0.002,1.02,0.05,Fe,0.282,0.012,32,26,3843936.0,777.6,33,26,1149.3880000000001,83.91799999999998,endf,irdff,2.3924171871474916e+20,178449.12806501603,178429.8221006711,321121562.13620174,3275439.933789258
16,189.0,,0.0011,0.0012,Fe,0.282,0.012,32,26,3843936.0,777.6,33,26,1149.3880000000001,83.91799999999998,endf,irdff,2.3924171871474916e+20,178449.12806501603,178429.8221006711,321121562.13620174,3532.3371834982195
17,192.343,0.005,3.08,0.12,Fe,0.282,0.012,32,26,3843936.0,777.6,33,26,1149.3880000000001,83.91799999999998,endf,irdff,2.3924171871474916e+20,178449.12806501603,178429.8221006711,321121562.13620174,9890544.113795014
